tweets,id,len,date,source,likes,retweets
b'RT @jonfortt: .@Apple\xe2\x80\x99s @Qualcomm Truce and IPO Fever | #ForttKnox https://t.co/2cgvs2PKS6',1118575078831210498,90,2019-04-17 18:00:55,TweetDeck,0,14
b'RT @NewsHour: WATCH LIVE: Secretary of State Mike Pompeo holds news conference https://t.co/gJ9Z296L9H',1118506962726084609,102,2019-04-17 13:30:15,Twitter for  iPhone,0,10
b'RT @TwitterEspana: \xf0\x9f\x93\xa2 A partir de hoy compartiremos algunos trucos sobre c\xc3\xb3mo seguir todo sobre la campa\xc3\xb1a y la jornada electoral del #28A e\xe2\x80\xa6',1118490578684186624,140,2019-04-17 12:25:09,TweetDeck,0,13
b'RT @Reuters: Nancy Pelosi addresses Irish parliament during Dublin visit https://t.co/fVV0rWkWQK',1118483829952528385,96,2019-04-17 11:58:20,Twitter for  iPhone,0,106
b'RT @ABC: HAPPENING NOW: Officials holds news conference on woman who allegedly threatened Denver schools. https://t.co/WPe1GkbtW5 https://t\xe2\x80\xa6',1118356390337290240,140,2019-04-17 03:31:56,Twitter for  iPhone,0,315
"b'RT @NickKristof: Tani, the formerly homeless chess champion, is showing his new home! Join us! https://t.co/k2mMjdbWEM'",1118294578153578497,118,2019-04-16 23:26:18,Twitter for iPhone,0,262
b'RT @NewsHour: WATCH LIVE: People have gathered in Paris for a vigil to Notre Dame Cathedral https://t.co/UAMT1B0Axs',1118252806329249794,115,2019-04-16 20:40:19,TweetDeck,0,27
b'RT @ABCPolitics: WATCH: French Pres. Emmanuel Macron makes remarks following Notre Dame fire. https://t.co/R3c6lTmhX2',1118214373430919168,117,2019-04-16 18:07:36,TweetDeck,0,64
b'RT @ABC: HAPPENING NOW: Live look at the Notre Dame cathedral in Paris one day after devastating fire. https://t.co/b6fC7m3sx7',1118153582757462017,126,2019-04-16 14:06:03,TweetDeck,0,484
b'RT @Reuters: After the fire: Parisians wake up to a smoldering Notre-Dame Cathedral https://t.co/dDOKTPmGGZ',1118088346763444224,107,2019-04-16 09:46:49,Twitter for iPhone,0,269
b'Tune in to watch @PulitzerPrizes announce the 2019 #Pulitzer Prize winners \xf0\x9f\x91\x87\xf0\x9f\x8f\xbd https://t.co/4RtJgSoLjI',1117866945649369090,101,2019-04-15 19:07:03,TweetDeck,12,4
b'RT @WCCO: WATCH: President Donald Trump holds a roundtable discussion in Burnsville to talk with small business owners about tax cuts and t\xe2\x80\xa6',1117861384467832833,140,2019-04-15 18:44:57,TweetDeck,0,8
b'RT @NBCNews: BREAKING: @NBCNews Special Report: Notre Dame Cathedral in Paris burns. https://t.co/MaEI5HL4Kk \n\nhttps://t.co/Q6OkBTcknL',1117849751456583680,134,2019-04-15 17:58:44,TweetDeck,0,385
b'https://t.co/yNLlfsQXzB',1117842816049266689,23,2019-04-15 17:31:10,TweetDeck,97,130
"b""RT @ABCPolitics: WATCH: Beto O'Rourke campaigns in Greensboro, North Carolina. https://t.co/SCrHFGpXFv""",1117840589322637312,102,2019-04-15 17:22:19,TweetDeck,0,24
"b""In the run-up to the announcement of this years' winners today at 3p.m. ET, here are #21DaysofPulitzers\n\nhttps://t.co/sHgzpgvv62""",1117783458108051456,128,2019-04-15 13:35:18,TweetDeck,11,6
